,name,price,brend,url,country
0,Мультиметр цифровой автоматический с щупами,11181177.0,Aneng,https://www.wildberries.ru/catalog/170184669/detail.aspx,
1,Мультиметр цифровой и тестер напряжения,435458.0,Aneng,https://www.wildberries.ru/catalog/156416518/detail.aspx,
2,Мультиметр цифровой автоматический с щупами,27012844.0,Aneng,https://www.wildberries.ru/catalog/193171519/detail.aspx,
3,Мультиметр цифровой с детектором скрытой проводки,11121171.0,Мультиметр цифровой автоматический,https://www.wildberries.ru/catalog/216070098/detail.aspx,
4,Мультиметр цифровой автоматический с щупами,17591852.0,BSIDE,https://www.wildberries.ru/catalog/153735582/detail.aspx,
5,Мультиметр Цифровой с Сумкой Чехлом TESMEN TM-510,931981.0,TESMEN,https://www.wildberries.ru/catalog/185229702/detail.aspx,
6,Цифровой мультиметр ANENG A3008 Pro,14031477.0,,https://www.wildberries.ru/catalog/201452887/detail.aspx,
7,Мультиметр цифровой с прозвонкой,468493.0,Digital Multimeter,https://www.wildberries.ru/catalog/170947941/detail.aspx,
8,Мультиметр цифровой с прозвонкой,704742.0,Lamp360.ru,https://www.wildberries.ru/catalog/114637346/detail.aspx,
9,Мультиметр цифровой с прозвонкой,494521.0,Сам Соберу,https://www.wildberries.ru/catalog/84131998/detail.aspx,
10,Цифровой мультиметр ANENG 682,18681967.0,Trimax,https://www.wildberries.ru/catalog/209179332/detail.aspx,
11,Мультиметр цифровой автоматический с щупами,600632.0,Aneng,https://www.wildberries.ru/catalog/229186641/detail.aspx,
12,Мультиметр цифровой автоматический с щупами,765806.0,Aneng,https://www.wildberries.ru/catalog/184044366/detail.aspx,
13,Мультиметр цифровой c прозвонкой dt 832,323340.0,Мультитестер,https://www.wildberries.ru/catalog/149122904/detail.aspx,
14,Мультиметр цифровой с прозвонкой,458483.0,Digital Multimeter,https://www.wildberries.ru/catalog/174694116/detail.aspx,
15,Мультиметр цифровой c прозвонкой dt 838,397418.0,Мультитестер,https://www.wildberries.ru/catalog/152369698/detail.aspx,
16,Мультиметр цифровой и тестер напряжения,9561007.0,Aneng,https://www.wildberries.ru/catalog/169204322/detail.aspx,
17,Мультиметр цифровой автоматический с щупами,786828.0,Aneng,https://www.wildberries.ru/catalog/184046416/detail.aspx,
18,Мультиметр цифровой RM777,24852616.0,RICHMETERS,https://www.wildberries.ru/catalog/166715386/detail.aspx,
19,Мультиметр цифровой c прозвонкой,10871145.0,Aneng,https://www.wildberries.ru/catalog/200971508/detail.aspx,
20,Мультиметр цифровой и тестер напряжения,386407.0,Дом и Радости,https://www.wildberries.ru/catalog/220502811/detail.aspx,
21,Мультиметр цифровой,16841773.0,REMIZOFF,https://www.wildberries.ru/catalog/201814264/detail.aspx,
22,Мультиметр цифровой и тестер напряжения,641675.0,Aneng,https://www.wildberries.ru/catalog/146430924/detail.aspx,
